title,price,km,monthly,apr
2017 Jeep Cherokee North l BU Cam l Beige Interior l Leather,,"124,626 km","$23,999",$529 Above Market
2024 Mazda CX-50 GT All-Terrain Tires | Unique Rim | Terracoatta Le,,,"$47,623",
2023 Audi A8 55 TFSI quattro | Air suspension | B&O sound | OLE,,,"$111,163",
2021 Jeep Wrangler Unlimited Rubicon | Leather | Navigation | Cold We,,"29,796 km","$57,387",$463 Above Market
2023 GMC Sierra 1500 Elevation,,,"$71,727",
"2018 Maserati Levante S GranSport 3.0L | 2 SETS, ALLOYS & TIRES | CLEAN!",,"83,556 km","$54,888",
2017 BMW 3 Series 4dr Touring Wagon 330i xDrive AWD,,"185,000 km","$26,500",
2017 Acura MDX SH-AWD | CLEAN CARFAX,,"115,407 km","$31,453",$922 Below Market
2023 Chrysler Pacifica Touring L AWD| S APPEARANCE|,,,"$60,830",
"2008 Ford Edge Limited, AWD 4dr",,"323,513 km","$2,999",$820 Below Market
2012 Ford Focus *TAKE IT HOME TODAY PRICE*,,"327,159 km","$3,000","$1,191 Below Market"
2010 Chevrolet Malibu LT w/2LT,,"234,410 km","$3,709","$1,473 Below Market"
2006 Mazda Mazda6 GS AS IS SPEACIAL,,"242,063 km","$3,900",$214 Below Market
2018 Toyota Highlander AWD XLE,,"151,738 km","$30,000","$6,401 Below Market"
"2011 Hyundai Accent GL ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!!!~",,"291,998 km","$3,990",$462 Below Market
2010 Mazda Mazda3 AUTO! LOADED! ALLOYS! SAFETY AVAILABLE!,,"284,000 km","$3,990","$1,153 Below Market"
"2009 Chevrolet Cobalt SOLD, SOLD    LT / AUTO/ LOADED/ 151192 KMS !!!",,"151,192 km","$4,988",$732 Below Market
"2013 Volkswagen Jetta Sedan COMFORTLINE ~MANUAL, FULLY CERTIFIED WITH WARRANTY",,"312,213 km","$4,990","$1,233 Below Market"
"2010 Dodge Journey SXT ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!!!~",,"230,149 km","$4,990",$577 Below Market
"2011 Mazda Mazda3 GS ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!!!~",,"302,343 km","$4,990",$462 Below Market
"2012 Hyundai Elantra LIMITED ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!",,"290,293 km","$4,990",$605 Below Market
"2011 Chevrolet Malibu LT ~AUTOMATIC, FULLY CERTIFIED WITH WARRANTY!!!~",,"209,209 km","$4,990","$1,677 Below Market"
2006 Toyota Corolla CE - AUTO - AIR - PWR.GRP,,"246,708 km","$4,995",$601 Below Market
